ID,Municipio,IPM Municipal,IPM,Cabeceras,IPM Centros poblados y rural disperso
15001,TUNJA,11.4,11.4,10.2,37.2
15022,ALMEIDA,37.5,37.5,10.2,44.3
15047,AQUITANIA,33.5,33.5,24,40.2
15051,ARCABUCO,24.8,24.8,12.6,34.3
15087,BELÉN,25.2,25.2,16.9,38.1
15090,BERBEO,40.5,40.5,25.4,46.1
15092,BETÉITIVA,43.3,43.3,18.1,48.0
15097,BOAVITA,48.1,48.1,21.7,70.4
15104,BOYACÁ,39.7,39.7,26.8,42.0
15106,BRICEÑO,48.5,48.5,23.8,55.8
15109,BUENAVISTA,44.9,44.9,17.9,50.2
15114,BUSBANZÁ,31.3,31.3,25.6,36.0
15131,CALDAS,43.7,43.7,16.2,45.9
15135,CAMPOHERMOSO,52.3,52.3,18.4,63.0
15162,CERINZA,29.4,29.4,18.6,38.1
15172,CHINAVITA,41.1,41.1,18.9,56.4
15176,CHIQUINQUIRÁ,17.3,17.3,15,35.8
15180,CHISCAS,60.1,60.1,21.2,72.1
15183,CHITA,69.1,69.1,30.4,81.7
15185,CHITARAQUE,46.4,46.4,14.2,55.1
15187,CHIVATÁ,42.3,42.3,19.1,47.0
15189,CIÉNEGA,40.5,40.5,16.7,49.3
15204,CÓMBITA,36.1,36.1,19.1,38.8
15212,COPER,38.8,38.8,21.9,44.2
15215,CORRALES,26.6,26.6,20.3,37.2
15218,COVARACHÍA,55.6,55.6,11.9,65.0
15223,CUBARÁ,69.7,69.7,32.4,79.8
15224,CUCAITA,25.9,25.9,21.8,29.0
15226,CUÍTIVA,40.7,40.7,25.1,43.6
15232,CHÍQUIZA,51.3,51.3,29.3,53.1
15236,CHIVOR,45.8,45.8,16.2,63.1
15238,DUITAMA,10.5,10.5,9.4,19.3
15244,EL COCUY,49.4,49.4,28.5,74.2
15248,EL ESPINO,31.3,31.3,18.4,42.8
15272,FIRAVITOBA,21.7,21.7,10,28.9
15276,FLORESTA,43.9,43.9,24.3,54.7
15293,GACHANTIVÁ,51.2,51.2,21.4,58.8
15296,GÁMEZA,43.7,43.7,26.6,51.0
15299,GARAGOA,20.3,20.3,12.2,47.7
15317,GUACAMAYAS,30.4,30.4,18.7,36.3
15322,GUATEQUE,19.4,19.4,13.8,42.3
15325,GUAYATÁ,36.1,36.1,10.7,48.3
15332,GÜICÁN DE LA SIERRA,48.1,48.1,13.3,63.9
15362,IZA,24.8,24.8,16.2,37.6
15367,JENESANO,38.8,38.8,17.6,46.6
15368,JERICÓ,64.7,64.7,26.2,79.6
15377,LABRANZAGRANDE,57.4,57.4,28.9,72.7
15380,LA CAPILLA,31.6,31.6,19.1,40.0
15401,LA VICTORIA,38.4,38.4,18.6,48.7
15403,LA UVITA,41.9,41.9,26.2,54.2
15407,VILLA DE LEYVA,15.2,15.2,11.6,19.6
15425,MACANAL,28.9,28.9,6.3,37.6
15442,MARIPÍ,67.0,67.0,27.8,72.9
15455,MIRAFLORES,21.1,21.1,11.7,35.0
15464,MONGUA,50.7,50.7,33.4,65.6
15466,MONGUÍ,28.8,28.8,20.4,41.3
15469,MONIQUIRÁ,27.1,27.1,12.8,43.5
15476,MOTAVITA,49.8,49.8,18.6,54.7
15480,MUZO,40.7,40.7,35.7,50.8
15491,NOBSA,10.5,10.5,8.7,11.4
15494,NUEVO COLÓN,46.2,46.2,19.2,52.7
15500,OICATÁ,22.8,22.8,11.3,24.7
15507,OTANCHE,44.7,44.7,29.9,58.2
15511,PACHAVITA,37.5,37.5,31,39.3
15514,PÁEZ,36.5,36.5,20.3,48.5
15516,PAIPA,16.2,16.2,10,26.4
15518,PAJARITO,27.8,27.8,20.4,34.5
15522,PANQUEBA,42.7,42.7,16.9,65.9
15531,PAUNA,47.4,47.4,23.8,58.4
15533,PAYA,68.2,68.2,29.3,78.9
15537,PAZ DE RÍO,21.6,21.6,11.8,40.0
15542,PESCA,39.3,39.3,17.3,50.6
15550,PISBA,57.9,57.9,31.9,70.8
15572,PUERTO BOYACÁ,33.6,33.6,30,42.9
15580,QUÍPAMA,64.6,64.6,37.9,76.3
15599,RAMIRIQUÍ,31.4,31.4,14,45.0
15600,RÁQUIRA,31.3,31.3,10.9,40.2
15621,RONDÓN,46.9,46.9,17,57.4
15632,SABOYÁ,41.8,41.8,16.4,44.1
15638,SÁCHICA,23.8,23.8,13.1,35.0
15646,SAMACÁ,21.5,21.5,14.3,26.2
15660,SAN EDUARDO,35.9,35.9,13.2,53.2
15664,SAN JOSÉ DE PARE,50.8,50.8,26,57.1
15667,SAN LUIS DE GACENO,31.4,31.4,16.1,44.9
15673,SAN MATEO,45.8,45.8,16.3,61.9
15676,SAN MIGUEL DE SEMA,35.6,35.6,22.1,37.8
15681,SAN PABLO DE BORBUR,53.7,53.7,25.7,57.4
15686,SANTANA,40.5,40.5,20.3,51.3
15690,SANTA MARÍA,29.0,29.0,16.4,51.1
15693,SANTA ROSA DE VITERBO,19.0,19.0,12.3,30.9
15696,SANTA SOFÍA,31.4,31.4,21.3,36.5
15720,SATIVANORTE,51.6,51.6,22.6,66.5
15723,SATIVASUR,29.7,29.7,9.6,37.5
15740,SIACHOQUE,45.1,45.1,23.7,49.5
15753,SOATÁ,17.3,17.3,9.2,39.1
15755,SOCOTÁ,52.9,52.9,17.3,61.3
15757,SOCHA,20.8,20.8,13.3,30.4
15759,SOGAMOSO,10.4,10.4,8.8,22.9
15761,SOMONDOCO,41.0,41.0,14.4,50.0
15762,SORA,55.3,55.3,23.4,62.1
